,Customer ID,Circle Name,Age,Gender,Pincode,Age On Network,Connection Type (Prepaid/Postpaid),Voice Usage (Slab),Data Usage (Slab),Sms Usage (Slab),ARPU,ISD Usage,IR Usage,Amazon Prime User,Netflix User,Sender ID,VAS Subscription,VIL App Web (Login/Registration),Active User (App / Web),Recharge Own Asset,Recharge Aggregator (Value),Recharge Aggregator (Volume),Recharge Aggregator (Partner Category),Bill Payment Own Asset,Bill Payment Aggregator (Value),Bill Payment Aggregator (Volume),Bill Payment Aggregator (Partner Name),Content App Stream,Content App Active User,Content App (Movie/Live TV/Shows),Content Genre,Content Language,Credit Limit,Category DND Flag,Brand Identifier
0,0,Barshi,60-65,M,413412,20-22 Months,Postpaid,250-300,1.5GB-2GB,501-750,51-100,Yes,Yes,Yes,No,Entertainment,No,Yes,No,No,501-750,0,Payment Banking,Yes,301-500,0,Payment Banking,Yes,No,Movies,Romance,English,5000,No,Idea
1,1,,25-30,F,177103,10-12 Months,Prepaid,1001-1500,1.5GB-2GB,1-50,301-500,Yes,Yes,No,Yes,Work,No,No,No,No,301-500,3,Payment Banking,Yes,301-500,1,Payment Banking,No,Yes,Live TV,Horror,Hindi,500,No,Idea
2,2,Gangtok,40-45,F,737103,22-24 Months,Prepaid,1001-1500,0.5GB-1GB,250-300,751-1000,Yes,No,No,Yes,Entertainment,No,Yes,No,Yes,101-150,2,Payment Banking,No,201-250,2,Payment Banking,Yes,Yes,Movies,Action,English,8000,Yes,Idea
3,3,Jabalpur,65-70,F,482051,20-22 Months,Prepaid,1501-2000,>15GB,51-100,1-50,No,No,No,Yes,Entertainment,No,Yes,No,No,301-500,1,Payment Banking,No,>1000,4,Payment Banking,Yes,No,Live TV,Horror,Hindi,500,No,Vodafone
4,4,Vellore,20-25,F,632001,10-12 Months,Prepaid,501-750,1.5GB-2GB,751-1000,151-200,No,Yes,Yes,No,Shopping,Yes,No,No,Yes,201-250,5,Wallet,No,201-250,4,Payment Banking,No,Yes,Movies,Horror,English,3000,Yes,Vodafone
5,5,Pakala,60-65,M,517152,4-6 Months,Prepaid,1-50,0.5GB-1GB,101-150,201-250,No,Yes,Yes,Yes,Shopping,No,No,Yes,No,751-1000,1,Wallet,No,301-500,5,Payment Banking,Yes,Yes,Movies,Comedy,Hindi,2500,No,Idea
6,6,Kopergaon,25-30,M,423601,6-8 Months,Postpaid,151-200,2GB-2.5GB,751-1000,101-150,Yes,No,Yes,Yes,Work,Yes,Yes,No,No,>1000,7,Wallet,No,51-100,2,Wallet,Yes,Yes,Live TV,Action,English,1000,No,Idea
7,7,Sakra,50-55,F,843104,22-24 Months,Postpaid,51-100,5GB-7.5GB,151-200,51-100,Yes,No,No,No,Lifestyle,Yes,No,Yes,No,301-500,7,Wallet,No,>1000,8,Wallet,Yes,No,Shows,Comedy,English,1500,No,Idea
8,8,Gwalior,50-55,M,475001,4-6 Months,Prepaid,1-50,1GB-1.5GB,501-750,201-250,No,No,No,No,Entertainment,No,Yes,No,No,250-300,0,Payment Banking,Yes,>1000,3,Wallet,No,No,Shows,Sci-fi,English,8000,No,Vodafone
9,9,Dindori,65-70,M,481879,18-20 Months,Postpaid,250-300,>15GB,250-300,301-500,No,No,No,Yes,Work,Yes,Yes,No,Yes,501-750,8,Wallet,No,1-50,8,Wallet,No,Yes,Shows,Sci-fi,Hindi,1000,Yes,Idea
10,10,,65-70,F,131301,16-18 Months,Postpaid,151-200,>15GB,101-150,101-150,Yes,Yes,No,No,,No,No,Yes,Yes,501-750,2,Payment Banking,Yes,151-200,1,Payment Banking,No,Yes,Live TV,Comedy,English,1500,No,Idea
11,11,Banda,45-50,M,210001,6-8 Months,Prepaid,201-250,7.5GB-10GB,>1000,101-150,No,No,No,Yes,Healthcare,No,No,Yes,Yes,201-250,3,Payment Banking,Yes,301-500,0,Wallet,No,Yes,Movies,Thriller,Hindi,7000,Yes,Idea
12,12,Una,25-30,F,362510,20-22 Months,Postpaid,751-1000,1.5GB-2GB,501-750,101-150,No,No,Yes,Yes,Food,Yes,Yes,No,No,751-1000,2,Payment Banking,No,301-500,6,Payment Banking,Yes,Yes,Live TV,Romance,Hindi,1500,No,Vodafone
13,13,Kozhenchery,65-70,M,689646,18-20 Months,Prepaid,501-750,>15GB,151-200,250-300,Yes,Yes,No,No,Banking Services,No,No,No,Yes,501-750,3,Payment Banking,Yes,101-150,7,Wallet,Yes,No,Movies,Action,English,5000,No,Idea
14,14,Durgapur,60-65,M,743701,18-20 Months,Prepaid,101-150,1GB-1.5GB,250-300,501-750,Yes,Yes,Yes,No,,No,Yes,No,Yes,>1000,4,Wallet,Yes,101-150,0,Payment Banking,No,No,Live TV,Horror,Hindi,2000,Yes,Vodafone
15,15,Arni,65-70,M,632314,16-18 Months,Prepaid,250-300,10GB-15GB,151-200,1-50,Yes,Yes,Yes,No,,Yes,No,Yes,No,101-150,4,Payment Banking,No,151-200,7,Payment Banking,Yes,Yes,Shows,Fantasy,English,3000,No,Vodafone
16,16,Bedeti,55-60,M,784179,2-4 Months,Postpaid,501-750,0GB-0.5GB,151-200,1-50,Yes,Yes,Yes,Yes,,No,Yes,Yes,No,51-100,4,Wallet,No,301-500,7,Payment Banking,No,No,Shows,Action,Hindi,10000,Yes,Vodafone
17,17,Kothapeta Taluk,65-70,F,533229,10-12 Months,Prepaid,1-50,0GB-0.5GB,301-500,151-200,No,No,Yes,Yes,Lifestyle,Yes,Yes,No,No,201-250,4,Payment Banking,Yes,151-200,9,Payment Banking,Yes,No,Movies,Thriller,Hindi,5000,No,Idea
18,18,Pastana,55-60,M,192123,20-22 Months,Postpaid,1501-2000,0GB-0.5GB,501-750,751-1000,No,No,Yes,No,Banking Services,No,Yes,No,No,51-100,8,Payment Banking,No,301-500,6,Wallet,No,Yes,Movies,Action,English,6000,No,Vodafone
19,19,Bhilwara,60-65,M,311404,2-4 Months,Prepaid,201-250,0.5GB-1GB,1-50,201-250,Yes,No,Yes,Yes,Shopping,Yes,No,No,No,151-200,1,Wallet,Yes,101-150,1,Payment Banking,No,No,Shows,Comedy,Hindi,1500,No,Vodafone
20,20,Katpadi,55-60,F,632516,6-8 Months,Prepaid,51-100,10GB-15GB,101-150,1-50,No,No,Yes,Yes,Work,No,Yes,Yes,Yes,101-150,7,Wallet,No,250-300,0,Payment Banking,No,Yes,Movies,Fantasy,Hindi,4000,Yes,Vodafone
21,21,South Solapur,50-55,F,413215,22-24 Months,Prepaid,1001-1500,1GB-1.5GB,250-300,>1000,No,Yes,No,No,Lifestyle,No,Yes,No,No,751-1000,8,Wallet,Yes,51-100,7,Wallet,Yes,No,Live TV,Romance,English,9000,No,Vodafone
